Zipcode,StateName,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
10025,New York,60.0,45,63,50.0,74.0,34.0,47.0
10023,New York,56.0,86,56,68.0,78.0,42.0,62.0
10002,New York,13.0,21,15,26.0,12.0,17.0,20.0
10016,New York,50.0,75,69,60.0,48.0,55.0,51.0
10009,New York,15.0,15,13,15.0,3.0,5.0,10.0
10011,New York,68.0,74,57,51.0,56.0,48.0,56.0
10128,New York,57.0,61,52,48.0,80.0,48.0,66.0
10019,New York,50.0,53,55,58.0,61.0,54.0,48.0
10003,New York,50.0,43,34,51.0,42.0,36.0,50.0
10024,New York,42.0,46,45,66.0,38.0,42.0,59.0
10028,New York,41.0,54,33,41.0,33.0,27.0,24.0
10027,New York,18.0,8,10,11.0,13.0,16.0,10.0
10021,New York,55.0,53,69,68.0,48.0,43.0,67.0
10032,New York,8.0,6,3,4.0,6.0,3.0,4.0
10031,New York,7.0,7,17,6.0,8.0,6.0,4.0
10014,New York,41.0,29,40,34.0,38.0,26.0,27.0
10036,New York,16.0,14,20,9.0,14.0,11.0,16.0
10033,New York,8.0,11,4,13.0,7.0,10.0,8.0
10010,New York,34.0,23,33,26.0,29.0,24.0,22.0
10065,New York,42.0,49,39,40.0,32.0,30.0,35.0
10040,New York,8.0,15,11,10.0,8.0,5.0,3.0
10001,New York,12.0,14,14,12.0,15.0,10.0,4.0
10034,New York,8.0,10,7,12.0,10.0,3.0,5.0
10026,New York,13.0,15,8,12.0,14.0,15.0,14.0
10013,New York,28.0,28,28,23.0,32.0,34.0,21.0
10035,New York,6.0,4,5,2.0,3.0,5.0,6.0
10075,New York,44.0,41,36,30.0,31.0,25.0,32.0
10012,New York,26.0,16,27,16.0,22.0,11.0,17.0
10038,New York,13.0,28,8,16.0,13.0,14.0,11.0
10030,New York,1.0,12,4,1.0,0.0,4.0,3.0
10017,New York,34.0,45,71,29.0,36.0,18.0,34.0
10039,New York,4.0,1,2,3.0,1.0,4.0,2.0
10037,New York,2.0,0,3,2.0,4.0,2.0,1.0
10018,New York,2.0,8,3,3.0,2.0,5.0,2.0
10005,New York,10.0,25,7,8.0,8.0,12.0,7.0
10044,New York,1.0,5,3,1.0,3.0,4.0,4.0
10280,New York,6.0,10,15,6.0,8.0,7.0,8.0
10006,New York,3.0,4,1,2.0,9.0,0.0,1.0
10004,New York,2.0,26,2,2.0,4.0,1.0,6.0
10020,New York,0.0,0,0,0.0,0.0,0.0,0.0
10118,New York,0.0,1,1,1.0,1.0,1.0,1.0
